camping,direcciones,webs,telefonos,geolocalización,latitud,longitud
645 31 65 70,"Calle Reino De León, 321, 24847 Otero de Curueño, León",645 31 65 70,VJM4+69 Otero de Curueño,"[42.8543075, -5.3918301]",42.8543075,-5.3918301
playamontroig,"N-340, Km 1.136, 43300 Mont-roig del Camp, Tarragona",playamontroig.com,977 81 06 37,,,
campingverneda,"N-230, Km171, 25537 El Pont d'Arròs, Lleida",campingverneda.com,973 64 10 24,,,
campinglanoguera,"Partida la Solana, 25613 Sant Llorenç de Montgai, Lleida",campinglanoguera.com,973 42 03 34,,,
campingametlla,"Paratge Santes Creus, Partida Santes Creus, 4, 43860 L'Ametlla de Mar, Tarragona",campingametlla.com,977 26 77 84,,,
estanyet,"Passeig del, Av. del Marjal, 43569 Les Cases d'Alcanar, Tarragona",estanyet.com,977 73 72 68,,,
campingriojerte,"Carrera 110, km. 375.800, 10613 Navaconcejo, Cáceres",campingriojerte.com,927 17 30 06,,,
campinglamata,"C. Garganta de Alardos, 39, 10480 Madrigal de la Vera, Cáceres",campinglamata.com,927 56 52 38,"[40.1528772, -5.360042]",40.1528772,-5.360042
campingmonfrague.es,"Ctra Plasencia, Puerta de Trujillo, km.9, 10680 Malpartida de Plasencia, Cáceres",campingmonfrague.es,927 45 92 33,,,
927 57 08 38,"Carretera Extremadura 203 KM 60, 10460 Losar de la Vera",927 57 08 38,4C59+MX Losar de la Vera,,,
campingalardos,"Carretera Candeleda, 10480 Madrigal de la Vera, Cáceres",campingalardos.com,927 56 50 66,,,
campingsantatecla.es,"Rua Desembocadura do Miño, 90, 36789 A Guarda, Pontevedra",campingsantatecla.es,986 61 30 11,,,
campingbayona,"Playa Ladeira, Av. José Pereira Troncoso, 2, 36393 Baiona, Pontevedra",campingbayona.com,457F+QJ Baiona,,,
campingmuin,"Carretera Baiona - A Garda, Km 26, 36309 Mougás, Oia, Pontevedra",campingmuino.com,986 36 16 00,,,
campingplayaamerica,"Rúa Canido, 7, 36350 Nigrán, Pontevedra",campingplayaamerica.com,986 36 54 04,"[42.1386188, -8.80963]",42.1386188,-8.80963
campingpaxarinas,"praia de Paxarinas, 34, 36960 Sanxenxo, Pontevedra",campingpaxarinas.com,986 72 30 55,,,
campingcalabassa,"Diseminado 2, poligono 2, 174, 07829 Cala Bassa, Balearic Islands",campingcalabassa.com,971 34 45 99,,,
campingcalanova,"Cala Nova, Diseminado P 8 San Carlos, 238, 07849 Santa Eulària des Riu, Balearic Islands",campingcalanova.com,971 33 17 74,,,
campinglaplayaibiza,"Es Canar, Av. de Cala Martina, 07845 Santa Eulalia - Ibiza, Balearic Islands",campinglaplayaibiza.com,971 33 85 25,,,
campingsonbou,"Carretera de Llucalari, Km. 3, 5, 07730, Balearic Islands",campingsonbou.com,971 37 27 27,,,
parcoibiza,"Carretera de Sant Josep a Sant Antoni, 07820 Sant Antoni de Portmany, Illes Balears",parcoibiza.com,626 45 02 86,,,
bugarra.es,"Camino Cementerio, 25, 46165 Bugarra, Valencia",bugarra.es,607 28 48 60,"[39.6070795, -0.7793787]",39.6070795,-0.7793787
turismosantapola.es,"Camino del cabo, 36, 03130 Santa Pola, Alicante",turismosantapola.es,965 41 11 00,"[38.2153122, -0.5080758]",38.2153122,-0.5080758
Buscar productos en esta tienda,"Carrer Enrique Torres Gómez, 46400 Cullera, Valencia",Buscar productos en esta tienda,decathlon.es,"[39.1676701, -0.2435339]",39.1676701,-0.2435339
Buscar productos en esta tienda,"Travesia Av. Cruz Roja Española, 16002 Cuenca",Buscar productos en esta tienda,decathlon.es,"[40.0754739, -2.1620431]",40.0754739,-2.1620431
vendrellplatja.es,"Av. del Sanatori, 43880 Coma-ruga, Tarragona",vendrellplatja.es,977 69 40 09,,,
campingdelarioja.es,"Carretera Haro, km 8.5, 26240, La Rioja",campingdelarioja.es,941 30 01 74,"[42.4901068, -2.9389071]",42.4901068,-2.9389071
campingdehar,"Carretera Vieja de Miranda, 1, 26200 Haro, La Rioja",campingdeharo.com,941 31 27 37,,,
campingbanares.es,"N-120, Km 42,2, 26257 Bañares, La Rioja",campingbanares.es,941 34 01 31,,,
campingnavarrete,"C. de Entrena, Km. 1, 5, 26370 Navarrete, La Rioja",campingnavarrete.com,941 44 01 69,,,
fuenmayor,"Av. de la Estación, 42, 26360 Fuenmayor, La Rioja",fuenmayor.com,941 45 03 30,"[42.4683198, -2.5610763]",42.4683198,-2.5610763
campingmadridarcoiris,"M-501, 7, 1, 28670 Villaviciosa de Odón, Madrid",campingmadridarcoiris.com,916 16 03 87,,,
campingmonteholiday,"Finca El, Calleja del Tercio Nuevo, 28739, Madrid",campingmonteholiday.com,691 58 45 23,,,
campingalpha,"C. Calidad, 28906 Getafe, Madrid",campingalpha.com,916 95 80 69,"[40.318013, -3.6864986]",40.318013,-3.6864986
elcantolagallina,"Tr.ª dos de Mayo, 1, 28295 Valdemaqueda, Madrid",elcantolagallina.com,918 98 48 20,,,
sierranorte,"C/ de la Iglesia, 0, 28193 Cervera de Buitrago, Madrid",sierranorte.com,918 68 61 36,,,
campingfuente,"C. de la Bocamina, 30626 Los Baños de Fortuna, Murcia",campingfuente.com,968 68 60 22,,,
968 89 39 29,"Acceso, Autovía del Mediterráneo, km 581, 30834 Murcia",968 89 39 29,XP3Q+CX Murcia,,,
larafabullas.es,"C. de la Rafa, 30180 Bullas, Murcia",larafabullas.es,968 65 46 66,,,
playamazarron,"Av. Pedro López Meca, 30877 Mazarrón, Murcia",playamazarron.com,968 15 06 60,"[37.563367, -1.3148085]",37.563367,-1.3148085
campingsierraespuna,"C. Juan Bautista, sn, 30848 El Berro, Murcia",campingsierraespuna.com,639 00 57 98,"[37.8885865, -1.492296]",37.8885865,-1.492296
campingaced,"Carretera los Arcos, 31282 Acedo, Navarra",campingacedo.com,948 52 13 51,,,
campingelmolin,"Carretera Larraga, 31150 Mendigorría, Navarra",campingelmolino.com,948 34 06 04,,,
campingariztigain,"Añerdi Auzoa, 11, 31791 Sunbilla, Navarra",campingariztigain.com,948 45 05 40,,,
aritzaleku,"Calle San Pedro, 31291 Lerate, Navarra",aritzaleku.com,686 69 91 33,"[42.7182742, -1.9357307]",42.7182742,-1.9357307
campingarbizu,"Paraje Utzu, Km 5, 31839 Arbizu, Navarra",campingarbizu.com,848 47 09 22,,,
campingportuond,"Portuondo Auzoa, 48360 Mundaka, Biscay",campingportuondo.com,946 87 77 01,,,
campingzumaia,"Basusta-Bidea Bidea, 16, 20750 Zumaia, Gipuzkoa",campingzumaia.com,943 86 04 75,"[43.28951755, -2.249263746235733]",43.28951755,-2.249263746235733
grancampingzarautz,"Calle Monte Talai Mendi, 20800 Zarautz, Gipuzkoa",grancampingzarautz.com,943 83 12 38,,,
oriokanpina,"Hondartza Bidea, 20810 Orio, Gipuzkoa",oriokanpina.com,943 83 48 01,"[43.2826863, -2.1270717]",43.2826863,-2.1270717
campingjaizkibel,"Akartegi Auzoa, 26, 20280 Hondarribia, Gipuzkoa",campingjaizkibel.com,943 64 16 79,,,
campingvalencia,"Carrer Riu Túria, 1, 46530 Puçol, Valencia",campingvalencia.com,961 46 58 06,"[39.6029865, -0.26997]",39.6029865,-0.26997
devesagardens,"Carretera de El Saler, Km. 13, 46012 Valencia",devesagardens.com,961 61 11 36,,,
collvertcamping,"Parque Natural de la Albufera - Playa de Pinedo, Carretera del riu, 486, 46012 Valencia",collvertcamping.com,961 83 00 36,,,
campingvalenciaelsaler,"Carrera del Riu, 552, 46012 Valencia",campingvalenciaelsaler.com,961 83 02 12,"[39.3876667, -0.3324079]",39.3876667,-0.3324079
valenciacamperpark,"C. Universo, 46117 Bétera, Valencia",valenciacamperpark.com,960 71 80 95,,,
